nohup: ignoring input
phoenix-srun: job 4931560 queued and waiting for resources
phoenix-srun: job 4931560 has been allocated resources
phoenix-srun: Job 4931560 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.42s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.49s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.51s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.08s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.23s/it]
======================================== Config ========================================
lora: 
    enable: false,
    r: 8,
    a: 16,
    dropout: 0
========================================================================================
[33mcorpus: [39;49;00m[32m[Kdata/slimpajama/arxiv.json:	1000/1000[39;49;00m
[33mBase GPU memory allocated:[39;49;00m[32m15316 MB[39;49;00m
/mnt/petrelfs/lijie/miniconda3/envs/llava/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
step-211   | loss: 7.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7151
step-212   | loss: 7.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7149
step-213   | loss: 7.906 | avg time: 0.182 | max memory: 31228.685 | seq len:       7135
step-214   | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7139
step-215   | loss: 7.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7141
step-216   | loss: 7.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7138
step-217   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7138
step-218   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7141
step-219   | loss: 7.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7148
step-220   | loss: 7.094 | avg time: 0.182 | max memory: 31228.685 | seq len:       7151
step-221   | loss: 7.656 | avg time: 0.182 | max memory: 31228.685 | seq len:       7152
step-222   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7156
step-223   | loss: 8.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7155
step-224   | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7154
step-225   | loss: 7.781 | avg time: 0.182 | max memory: 31228.685 | seq len:       7152
step-226   | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7146
step-227   | loss: 7.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7172
step-228   | loss: 7.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7170
step-229   | loss: 7.156 | avg time: 0.182 | max memory: 31228.685 | seq len:       7178
step-230   | loss: 7.469 | avg time: 0.182 | max memory: 31228.685 | seq len:       7176
step-231   | loss: 8.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7167
step-232   | loss: 7.750 | avg time: 0.182 | max memory: 31228.685 | seq len:       7164
step-233   | loss: 7.594 | avg time: 0.182 | max memory: 31228.685 | seq len:       7165
step-234   | loss: 8.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7157
step-235   | loss: 7.469 | avg time: 0.182 | max memory: 31228.685 | seq len:       7156
step-236   | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7162
step-237   | loss: 7.344 | avg time: 0.182 | max memory: 31228.685 | seq len:       7165
step-238   | loss: 7.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7170
step-239   | loss: 7.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7176
step-240   | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7171
step-241   | loss: 6.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7188
step-242   | loss: 6.969 | avg time: 0.182 | max memory: 31228.685 | seq len:       7195
step-243   | loss: 6.531 | avg time: 0.182 | max memory: 31228.685 | seq len:       7202
step-244   | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7206
